Unit ID,Sector,MSI Status,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Net Price,Cost of Attendance: In State,Cost of Attendance: Out of State,Cost of Attendance: In District,Affordability Gap (net price minus income earned working 10 hrs at min wage),Weekly Hours to Close Gap,State Minimum Wage,Income Earned from Working 10 Hours a Week at State's Minimum Wage,Monthly Center-Based Child Care Cost,Annual Center-Based Child Care Cost,Adjusted Monthly Center-Based Child Care Cost,Monthly Home-Based Child Care Cost,Adjusted Monthly Home-Based Child Care Cost,Annual Home-Based Child Care Cost,Latitude,Longitude,Region #,Institution Name,City,State Abbreviation,Sector Name,MSI Type,"Cost of Attendance: In State, On Campus",County Name,Zip Code,Region,Highest Degree Offered Name,Highest Level Offered Name,Institution Size Category Name,UNIQUE_IDENTIFICATION_NUMBER_OF_THE_INSTITUTION,City of Institution,Institution Type,Sector of Institution,"Average Net Price After Grants, 2020-21","Average Net Price After Grants, 2019-20","Average Net Price After Grants, 2018-19","Percent of First-Time, Full-Time Undergraduates Awarded Pell Grants","Percent Full-time, First-time, Pell Grant Recipients Receiving an Award - 6 Years","Percent Full-time, First-time, Pell Grant Recipients Still Enrolled at Same Institution - 8 Years",Bachelor's Degree Graduation Rate Bachelor Degree Within 6 Years - Total,Bachelor's Degree Graduation Rate Within 4 Years - Total,Bachelor's Degree Graduation Rate Within 5 Years - Total,"First-Time, Full-Time Retention Rate","Percent of Full-time, First-time Degree-Seeking Undergraduates","Average Amount of Institutional Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal, State, Local, or Institutional Grant Aid Awarded","Percent of First-Time, Full-Time Undergraduates Awarded Federal, State, Local or Institutional Grant Aid",Number of Undergraduates Enrolled,Institution Size Category,Instructional Expenses Per FTE,Instructional Expenses FASB per FTE,Endowment Assets FASB per Student,Hispanic-serving Institution (HSI),Predominantly Black Institution (PBI),Asian American or Native American Pacific Islander-Serving Institution (AANAPISI),Native American Non-Tribal Institution (NANTI),Historically Black College or University (HBCU),Tribal College or University (TCU),Median Earnings of Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,LATITUDE,LONGITUDE
100858,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22413.2,29946.0,51354.0,29946.0,18788.2,51.84000000000001,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.6,-85.49,3.0,Auburn University,Auburn,AL,"Public, 4-year or above",,35298,Lee County,36849,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"20,000 and above",100858,Auburn,Public Four-Year,1,23873.0,24028.0,23562.0,11.0,68.0,1.0,81.0,55.0,77.0,93.0,21.0,9799.0,10448.0,69.0,22715.0,5,8180.0,,,,0.0,0.0,0.0,0.0,0.0,47921.5,56700.0,60796.0,33,-85
100937,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22014.2,33779.0,33779.0,33779.0,18389.2,50.74,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.51,-86.85,3.0,Birmingham-Southern College,Birmingham,AL,"Private not-for-profit, 4-year or above",,40380,Jefferson County,35254,South,Bachelor's degree,Bachelor's degree,"Under 1,000",100937,Birmingham,Private Not-For-Profit Four-Year,2,22888.0,21474.0,23452.0,21.0,50.0,0.0,70.0,65.0,69.0,78.0,23.0,9020.0,10781.0,97.0,1041.0,2,11867.0,11867.0,45251.0,,0.0,0.0,0.0,0.0,0.0,47921.5,51698.0,39939.0,34,-87
101028,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8106.4,12133.0,14673.0,12133.0,4481.4,12.36,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.42,-85.03,3.0,Chattahoochee Valley Community College,Phenix City,AL,"Public, 2-year",PBI,.,Russell County,36869,South,Associate's degree,Associate's degree,"1,000 - 4,999",101028,Phenix City,Public Two-Year,4,3596.0,2110.0,2225.0,59.0,17.0,0.0,,,,60.0,13.0,5925.0,7038.0,94.0,498.0,2,6304.0,,,,1.0,0.0,0.0,0.0,0.0,36041.0,32551.0,29895.0,32,-85
101116,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25719.5,20619.0,20619.0,20619.0,22094.5,60.95,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.34,-86.22,3.0,South University-Montgomery,Montgomery,AL,"Private for-profit, 4-year or above",,.,Montgomery County,36116,South,Doctor's degree -  professional practice,Doctor's degree,"Under 1,000",101116,Montgomery,Private For-Profit Four-Year,3,17478.0,21140.0,20384.0,40.0,16.0,2.0,14.0,9.0,14.0,50.0,4.0,,8655.0,60.0,217.0,1,,,,,0.0,0.0,0.0,0.0,0.0,47921.5,34612.0,37398.0,32,-86
101143,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10455.0,12957.0,15497.0,12957.0,6830.0,18.86,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,31.3,-85.84,3.0,Enterprise State Community College,Enterprise,AL,"Public, 2-year",,.,Coffee County,36330-1300,South,Associate's degree,Associate's degree,"1,000 - 4,999",101143,Enterprise,Public Two-Year,4,3064.0,4401.0,3521.0,49.0,12.0,1.0,,,,66.0,19.0,4323.0,6434.0,76.0,913.0,2,6070.0,,,,0.0,0.0,0.0,0.0,0.0,36041.0,36458.0,39829.0,31,-86
101161,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10641.0,21372.0,25182.0,21372.0,7016.0,19.36,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,30.85,-87.78,3.0,Coastal Alabama Community College,Bay Minette,AL,"Public, 2-year",,25930,Baldwin County,36507-2698,South,Associate's degree,Associate's degree,"5,000 - 9,999",101161,Bay Minette,Public Two-Year,4,6744.0,8453.0,9324.0,49.0,21.0,1.0,,,,63.0,15.0,3635.0,6522.0,88.0,2826.0,3,5588.0,,,,0.0,0.0,0.0,0.0,0.0,36041.0,33037.0,30893.0,31,-88
101189,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25801.4,35667.0,35667.0,35667.0,22176.4,61.2,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.38,-86.22,3.0,Faulkner University,Montgomery,AL,"Private not-for-profit, 4-year or above",PBI,38340,Montgomery County,36109-3390,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"1,000 - 4,999",101189,Montgomery,Private Not-For-Profit Four-Year,2,19439.0,19889.0,19990.0,49.0,20.0,1.0,17.0,12.0,17.0,64.0,10.0,13452.0,17008.0,99.0,1305.0,2,7932.0,7932.0,9047.0,,1.0,0.0,0.0,0.0,0.0,47921.5,39854.0,39367.0,32,-86
101240,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4436.2,11584.0,14632.0,11584.0,811.2,2.2600000000000002,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.99,-85.99,3.0,Gadsden State Community College,Gadsden,AL,"Public, 2-year",HBCU,13156,Etowah County,35903,South,Associate's degree,Associate's degree,"1,000 - 4,999",101240,Gadsden,Public Two-Year,4,4890.0,4776.0,4960.0,59.0,18.0,2.0,,,,59.0,15.0,2711.0,5568.0,81.0,1854.0,2,5611.0,,,,0.0,0.0,0.0,1.0,0.0,36041.0,30046.0,28193.0,34,-86
101277,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14328.75,,,,10703.75,29.525,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.28,-86.2,3.0,New Beginning College of Cosmetology,Albertville,AL,"Private for-profit, less-than 2-year",,,Marshall County,35951,South,Non-degree granting,"At least 1, but less than 2 academic yrs","Under 1,000",101277,Albertville,Private For-Profit,9,12945.0,12385.0,12681.0,61.0,,,,,,84.0,68.0,,4388.0,61.0,57.0,1,,,,,0.0,0.0,0.0,0.0,0.0,27937.0,,,34,-86
101286,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2799.0,7897.0,10437.0,7897.0,-826.0,-2.2750000000000004,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,31.32,-85.47,3.0,George C Wallace Community College-Dothan,Dothan,AL,"Public, 2-year",,.,Dale County,36303-9234,South,Associate's degree,Associate's degree,"1,000 - 4,999",101286,Dothan,Public Two-Year,4,1274.0,2699.0,2347.0,55.0,26.0,1.0,,,,66.0,13.0,6123.0,7333.0,79.0,1298.0,2,7019.0,,,,0.0,0.0,0.0,0.0,0.0,27937.0,29805.0,28909.0,31,-85
101295,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15583.6,21847.0,25657.0,21847.0,11958.6,32.980000000000004,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.07,-86.78,3.0,George C Wallace State Community College-Hanceville,Hanceville,AL,"Public, 2-year",,20600,Cullman County,35077-2000,South,Associate's degree,Associate's degree,"5,000 - 9,999",101295,Hanceville,Public Two-Year,4,7924.0,6107.0,7094.0,49.0,37.0,2.0,,,,64.0,18.0,4068.0,4412.0,91.0,2384.0,3,6618.0,,,,0.0,0.0,0.0,0.0,0.0,27937.0,36938.0,34434.0,34,-87
101301,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3488.75,15053.0,17593.0,15053.0,-136.25,-0.375,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.45,-87.01,3.0,George C Wallace State Community College-Selma,Selma,AL,"Public, 2-year",PBI,.,Dallas County,36702-2808,South,Associate's degree,Associate's degree,"1,000 - 4,999",101301,Selma,Public Two-Year,4,2247.0,5192.0,3759.0,80.0,34.0,2.0,,,,62.0,13.0,3501.0,8498.0,98.0,480.0,2,4735.0,,,,1.0,0.0,0.0,0.0,0.0,36041.0,29770.0,25099.0,32,-87
101365,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20802.5,14956.0,14956.0,14956.0,17177.5,47.400000000000006,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.47,-86.83,3.0,Herzing University-Birmingham,Birmingham,AL,"Private not-for-profit, 4-year or above",,.,Jefferson County,35209,South,Master's degree,Post-master's certificate,"Under 1,000",101365,Birmingham,Private Not-For-Profit Four-Year,2,26887.0,25741.0,26468.0,94.0,23.0,0.0,,,,50.0,5.0,1923.0,4315.0,100.0,273.0,1,3760.0,3760.0,,,0.0,0.0,0.0,0.0,0.0,36041.0,36393.0,31651.0,33,-87
101435,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21604.2,37633.0,37633.0,37633.0,17979.2,49.6,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.35,-86.28,3.0,Huntingdon College,Montgomery,AL,"Private not-for-profit, 4-year or above",,41940,Montgomery County,36106-2148,South,Master's degree,Master's degree,"Under 1,000",101435,Montgomery,Private Not-For-Profit Four-Year,2,23664.0,22026.0,21738.0,40.0,40.0,0.0,44.0,33.0,41.0,72.0,30.0,12904.0,15688.0,100.0,792.0,1,7326.0,7326.0,70008.0,,0.0,0.0,0.0,0.0,0.0,47921.5,44281.0,48806.0,32,-86
101453,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25045.0,25045.0,25045.0,,,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.86,-87.66,3.0,Heritage Christian University,Florence,AL,"Private not-for-profit, 4-year or above",,24212,Lauderdale County,35630-9977,South,Master's degree,Master's degree,"Under 1,000",101453,Florence,Private Not-For-Profit Four-Year,2,4856.0,13571.0,8680.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,4703.0,11168.0,100.0,33.0,1,9032.0,9032.0,204733.0,,0.0,0.0,0.0,0.0,0.0,47921.5,,,35,-88
101462,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5729.5,10603.0,13143.0,10603.0,2104.5,5.8,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.77,-86.57,3.0,J. F. Drake State Community and Technical College,Huntsville,AL,"Public, 2-year",HBCU,.,Madison County,35811,South,Associate's degree,Associate's degree,"Under 1,000",101462,Huntsville,Public Two-Year,4,5746.0,5977.0,4020.0,79.0,16.0,2.0,,,,41.0,7.0,2673.0,5540.0,87.0,255.0,1,6551.0,,,,0.0,0.0,0.0,1.0,0.0,27937.0,26364.0,26203.0,35,-87
101471,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.58,-86.39,3.0,J F Ingram State Technical College,Deatsville,AL,"Public, 2-year",,.,Elmore County,36022,South,Associate's degree,Associate's degree,"Under 1,000",101471,Deatsville,Public Two-Year,4,4212.0,3731.0,3594.0,13.0,,,,,,60.0,45.0,,1872.0,100.0,291.0,1,12748.0,,,,0.0,0.0,0.0,0.0,0.0,27937.0,,,33,-86
101480,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15909.6,23153.0,33443.0,23153.0,12284.6,33.9,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.82,-85.77,3.0,Jacksonville State University,Jacksonville,AL,"Public, 4-year or above",,24824,Calhoun County,36265,South,Doctor's degree - research/scholarship and professional practice,Doctor's degree,"5,000 - 9,999",101480,Jacksonville,Public Four-Year,1,13426.0,13616.0,10689.0,51.0,33.0,3.0,50.0,26.0,44.0,69.0,22.0,4765.0,8488.0,99.0,6273.0,3,7545.0,,,,0.0,0.0,0.0,0.0,0.0,47921.5,39212.0,39714.0,34,-86
101505,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.6,13086.0,15626.0,13086.0,6275.6,17.32,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.65,-86.71,3.0,Jefferson State Community College,Birmingham,AL,"Public, 2-year",,.,Jefferson County,35215-3098,South,Associate's degree,Associate's degree,"5,000 - 9,999",101505,Birmingham,Public Two-Year,4,9675.0,9974.0,9455.0,49.0,17.0,2.0,,,,59.0,10.0,6151.0,6369.0,62.0,2247.0,3,5217.0,,,,0.0,0.0,0.0,0.0,0.0,36041.0,35627.0,36338.0,34,-87
101514,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8807.6,10007.0,12547.0,10007.0,5182.6,14.3,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,34.65,-86.95,3.0,John C Calhoun State Community College,Tanner,AL,"Public, 2-year",,.,Limestone County,35671,South,Associate's degree,Associate's degree,"5,000 - 9,999",101514,Tanner,Public Two-Year,4,7459.0,6077.0,5282.0,43.0,18.0,2.0,,,,64.0,10.0,1813.0,3918.0,91.0,2503.0,3,4839.0,,,,0.0,0.0,0.0,0.0,0.0,27937.0,34411.0,32746.0,35,-87
101569,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7476.8,16258.0,20068.0,16258.0,3851.8,10.62,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.45,-86.89,3.0,Lawson State Community College,Birmingham,AL,"Public, 2-year",HBCU,15040,Jefferson County,35221-1717,South,Associate's degree,Associate's degree,"1,000 - 4,999",101569,Birmingham,Public Two-Year,4,6342.0,7843.0,7897.0,79.0,18.0,3.0,,,,62.0,14.0,3791.0,7554.0,99.0,1214.0,2,6514.0,,,,0.0,0.0,0.0,1.0,0.0,36041.0,28629.0,26551.0,33,-87
101587,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14915.4,20918.0,30018.0,20918.0,11290.4,31.120000000000005,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.59,-88.19,3.0,University of West Alabama,Livingston,AL,"Public, 4-year or above",PBI,23962,Sumter County,35470,South,Doctor's degree - research/scholarship,Doctor's degree,"5,000 - 9,999",101587,Livingston,Public Four-Year,1,15435.0,15685.0,14232.0,60.0,29.0,0.0,37.0,26.0,35.0,63.0,13.0,5777.0,7129.0,89.0,1754.0,3,7462.0,,,,1.0,0.0,0.0,0.0,0.0,47921.5,36643.0,33061.0,33,-88
101602,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.0,14797.0,18607.0,14797.0,-116.0,-0.32499999999999996,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,31.32,-86.45,3.0,Lurleen B Wallace Community College,Andalusia,AL,"Public, 2-year",,15347,Covington County,36420-1224,South,Associate's degree,Associate's degree,"1,000 - 4,999",101602,Andalusia,Public Two-Year,4,9037.0,6913.0,8127.0,62.0,33.0,0.0,,,,63.0,21.0,3030.0,6543.0,86.0,763.0,2,5759.0,,,,0.0,0.0,0.0,0.0,0.0,36041.0,28632.0,30661.0,31,-86
101648,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10656.8,6248.0,8248.0,6248.0,7031.8,19.4,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,32.62,-87.32,3.0,Marion Military Institute,Marion,AL,"Public, 2-year",,18743,Perry County,36756-3207,South,Associate's degree,Associate's degree,"Under 1,000",101648,Marion,Public Two-Year,4,13138.0,11492.0,11580.0,34.0,36.0,0.0,,,,38.0,57.0,7163.0,7860.0,97.0,314.0,1,4202.0,,,,0.0,0.0,0.0,0.0,0.0,36041.0,48882.0,,33,-87
101675,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16735.4,21967.0,21967.0,21967.0,13110.4,36.160000000000004,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,33.48,-86.91,3.0,Miles College,Fairfield,AL,"Private not-for-profit, 4-year or above",HBCU,23144,Jefferson County,35064-2621,South,Bachelor's degree,Bachelor's degree,"1,000 - 4,999",101675,Fairfield,Private Not-For-Profit Four-Year,2,14868.0,14740.0,14084.0,79.0,24.0,1.0,24.0,14.0,22.0,60.0,25.0,5339.0,8037.0,87.0,1421.0,2,4111.0,4111.0,21273.0,,0.0,0.0,0.0,1.0,0.0,47921.5,29819.0,34269.0,33,-87
101693,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19816.6,39262.0,39262.0,39262.0,16191.6,44.68,7.25,72.5,1023.2,12278.4,1103.21,986.4,1063.54,11836.8,30.79,-88.13,3.0,University of Mobile,Mobile,AL,"Private not-for-profit, 4-year or above",,43346,Mobile County,36613-2842,South,Doctor's degree - research/scholarship,Doctor's degree,"1,000 - 4,999",101693,Mobile,Private Not-For-Profit Four-Year,2,21638.0,22197.0,21847.0,39.0,49.0,0.0,51.0,36.0,49.0,64.0,15.0,13240.0,16093.0,92.0,1045.0,2,6500.0,6500.0,13491.0,,0.0,0.0,0.0,0.0,0.0,47921.5,39675.0,42709.0,31,-88
